公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN112827516A","CN201911154919.5","生物芯片封装结构","20191122","20210525",,"B01L  3/00","B01L","G01N33/528 | B01L3/502738 | B01L2300/0819 | B01L2300/0877 | G01N33/48","G01N33","5","富泰华工业（深圳）有限公司 | 虹晶科技股份有限公司","鸿海精密工业股份有限公司 | 虹晶科技股份有限公司","吕香桦 | 潘盈洁 | 倪庆羽","吕香桦","0","0","0","0","0","0","公开","1","18",
"CN213222228U","CN202021873319.2","一种新型热粘合生物芯片的简易实验装置","20200901","20210518","20210518","B01L  3/00","B01L","","","5","杭州欧光芯科技有限公司","杭州欧光芯科技有限公司","张琬皎 | 龙眈","张琬皎","0","0","0","0","0","0","有效","0","34",
"CN112779142A","CN202011600667.7","一种灵敏度高的生物芯片分析仪","20201230","20210511",,"C12M  1/34 | B08B  1/00 | C12M  1/00 | C12M  1/04","C12M","","","7","许苏苹","许苏苹","许苏苹","许苏苹","0","0","0","0","0","0","公开","0","26",
"CN112765685A","CN202110135396.0","基于废液时序锁定的微电极点阵生物芯片版权保护方法","20210201","20210507",,"G06F 21/71","G06F","","","4","福州大学","福州大学","刘西蒙 | 刘灵清 | 董晨 | 柳煌达 | 连思璜 | 邹剑 | 陈震亦","刘西蒙","0","0","0","0","0","0","公开","0","21",
"CN112763739A","CN202011521258.8","一种用于生物芯片制造的点样装置及其使用方法","20201221","20210507",,"G01N 35/10","G01N","","","10","张军亮","张军亮","张军亮 | 杨凤","张军亮","0","0","0","0","0","0","公开","0","37",
"CN112685784A","CN202110014813.6","一种基于逻辑加密的MEDA生物芯片版权保护方法","20210106","20210420",,"G06F 21/62 | G06F 21/10 | G06F 21/60","G06F","","","4","福州大学","福州大学","董晨 | 刘灵清 | 刘西蒙 | 柳煌达 | 邹剑 | 连思璜 | 陈震亦","董晨","0","0","0","0","0","0","公开","0","37",
"CN213021668U","CN202022382865.2","一种用于农药筛选的生物芯片检测镜头","20201023","20210420","20210420","G01D 21/00 | C12M  1/00 | C12M  1/34 | G02B  7/00","G01D","","","5","江苏仁明生物科技有限公司","江苏仁明生物科技有限公司","那日松 | 刘佳 | 赵熹 | 张立新 | 王毅","那日松","0","0","0","0","0","0","有效","0","21",
"CN213022521U","CN202021281245.3","一种便携式生物芯片点样仪","20200702","20210420","20210420","G01N  1/28","G01N","","","6","武汉普昊科技有限公司","武汉普昊科技有限公司","周焱文","周焱文","0","0","0","0","0","0","有效","0","24",
"CN212988993U","CN202021894794.8","一种生物芯片","20200902","20210416","20210416","G01N  1/38","G01N","","","10","湖南乐准智芯生物科技有限公司","湖南乐准智芯生物科技有限公司","邬鹏程 | 周孝祥","邬鹏程","0","0","0","0","0","0","有效","0","11",
"CN212915713U","CN202021309695.9","生物芯片自动化组装装置","20200706","20210409","20210409","B01L  3/00 | B05C  5/02 | B05C 13/02","B01L","","","10","深圳市万福达精密设备股份有限公司","深圳市万福达精密设备股份有限公司","方林华","方林华","0","0","0","0","0","0","有效","0","22",
